Keyword,Repository Name,Owner,Description,URL
bias mitigation,Position-Bias-Mitigation-in-Emotion-Cause-Analysis,hanqi-qi,ACL2021:Position Bias Mitigation: A Knowledge-Aware Graph Model for EmotionCause Extraction,https://github.com/hanqi-qi/Position-Bias-Mitigation-in-Emotion-Cause-Analysis
bias mitigation,responsibly,ResponsiblyAI,Toolkit for Auditing and Mitigating Bias and Fairness of Machine Learning Systems 🔎🤖🧰,https://github.com/ResponsiblyAI/responsibly
model fairness,fairlearn,fairlearn,A Python package to assess and improve fairness of machine learning models.,https://github.com/fairlearn/fairlearn
model fairness,AIF360,Trusted-AI,"A comprehensive set of fairness metrics for datasets and machine learning models, explanations for these metrics, and algorithms to mitigate bias in datasets and models.",https://github.com/Trusted-AI/AIF360
model fairness,SlowFast,facebookresearch,PySlowFast: video understanding codebase from FAIR for reproducing state-of-the-art video models.,https://github.com/facebookresearch/SlowFast
model fairness,fairseq2,facebookresearch,FAIR Sequence Modeling Toolkit 2,https://github.com/facebookresearch/fairseq2
model fairness,amazon-sagemaker-clarify,aws,Fairness Aware Machine Learning. Bias detection and mitigation for datasets and models.,https://github.com/aws/amazon-sagemaker-clarify
model fairness,pyfair,Hive-Systems,Factor Analysis of Information Risk (FAIR) model written in Python.,https://github.com/Hive-Systems/pyfair
model fairness,interpretable_machine_learning_with_python,jphall663,"Examples of techniques for training interpretable ML models, explaining ML models, and debugging ML models for accuracy, discrimination, and security.",https://github.com/jphall663/interpretable_machine_learning_with_python
model fairness,monitor-wml-model-with-watson-openscale,IBM,"Monitor performance, fairness, and quality of a WML model with AI OpenScale APIs",https://github.com/IBM/monitor-wml-model-with-watson-openscale
model fairness,differential-privacy-vs-fairness,ebagdasa,"Code for ""Differential Privacy Has Disparate Impact on Model Accuracy"" NeurIPS'19",https://github.com/ebagdasa/differential-privacy-vs-fairness
model fairness,DALEX,ModelOriented,moDel Agnostic Language for Exploration and eXplanation,https://github.com/ModelOriented/DALEX
