Keyword,Repository Name,Author,Message,Commit URL
ml fairness,KANUBALAD/ML-Fairness-in-School-DropOut-,Alidu Abubakari,Merge branch 'main' of https://github.com/KANUBALAD/ML-Fairness-in-School-DropOut-,https://github.com/KANUBALAD/ML-Fairness-in-School-DropOut-/commit/7111e8744174d447f8c6a4405271d0f3f90b1aa2
ml fairness,stevenxchung/OMSCS-Notes,Steven,Create Module 03 - Fairness in AI and ML.md,https://github.com/stevenxchung/OMSCS-Notes/commit/885bc9ffe99d1eda00f070f5e123db8955182a78
ml fairness,MatthewK84/LinkedIn-Learning-Journey,Matthew Kolakowski,"Bias, Fairness, and Accountability with ML",https://github.com/MatthewK84/LinkedIn-Learning-Journey/commit/f395ebb9fa0d3c1ffbdc380b69360a88c24e5566
ml fairness,VenkateshMohan3434/VenkateshMohan3434.github.io,VenkateshMohan3434,Intro to ML Fairness,https://github.com/VenkateshMohan3434/VenkateshMohan3434.github.io/commit/f01f9db24381d21dc39db34e2411c3609fda7c89
ml fairness,ImCirot/Progetto-Tesi,ImCirot,Started workin on Students ml model and created first fairness testing,https://github.com/ImCirot/Progetto-Tesi/commit/94a5f41dfa7ee5308c66a4c4a915a4f5f9827158
ml fairness,Kossi-Francois/MachineLearning-QuantumML-Xperiment,XfranfranX,add ML-Fairness,https://github.com/Kossi-Francois/MachineLearning-QuantumML-Xperiment/commit/fa2e7f945320db349ee5201cef27f3f74bcfde71
ml fairness,biya0105/biya0105.github.io,biya0105,Delete 2023-02-11-fairness-in-ml.md,https://github.com/biya0105/biya0105.github.io/commit/807a04849717d0be81daf4816adf1e13e3f45cc8
ml fairness,ImCirot/Progetto-Tesi,ImCirot,"Finished working on ml model training using aif360, now train new model on fair dataset and prints some quality/fair reports",https://github.com/ImCirot/Progetto-Tesi/commit/64512196ddddd99f7c5d4b00638695f92c98ac7a
ml fairness,matloff/dsld,Arjun Ashok,"Restructuring fair ml approaches, added more optimization info",https://github.com/matloff/dsld/commit/829b5780f393abcb64ced078071938abfa7b6fc7
ML Ethics,Collins-kariuk/Machine-Learning-CS158,Collins Kariuki,Changed name of ML ethics article,https://github.com/Collins-kariuk/Machine-Learning-CS158/commit/49d179b6bc89b7800b05bfc25bd06ada0472d8a3
ML Ethics,Collins-kariuk/Machine-Learning-CS158,Collins Kariuki,Added article that talks about ML ethics,https://github.com/Collins-kariuk/Machine-Learning-CS158/commit/0a47f754a1c424a9e7855e710c9ae4bce0118dc8
ML Ethics,muzalee/lawminds,Muzallyefah Fadli,"feature: api integration for chatbot (#3)

* feat: integrate with api

* fix: change topic name

* fix: ml office_ethics.pdf",https://github.com/muzalee/lawminds/commit/95884e0853648e89e90e3b5decaec31774524845
ML Ethics,eivshina/point-theme,eivshina,Update 2023-07-23-ethics-in-ml.md,https://github.com/eivshina/point-theme/commit/4fb6b1b274d551d75b66658182178c3635b39554
ML Ethics,eivshina/point-theme,eivshina,Update 2023-07-23-ethics-in-ml.md,https://github.com/eivshina/point-theme/commit/5d3b1e9f4b13b18d5d218b212b4143dd1331c838
ML Ethics,eivshina/point-theme,eivshina,Create 2023-07-23-ethics-in-ml.md,https://github.com/eivshina/point-theme/commit/7cf48466196adfdde59b59556e75180c4ab5df8c
ML Ethics,ebwieman/wildfire-risk-tool,Wright Frost,Adding ML ethics essay,https://github.com/ebwieman/wildfire-risk-tool/commit/acbdd88ff163ade982528e8f2adae4551a447980
ML Ethics,iffyaiyan/lawminds,Muzallyefah Fadli,"feature: api integration for chatbot (#3)

* feat: integrate with api

* fix: change topic name

* fix: ml office_ethics.pdf",https://github.com/iffyaiyan/lawminds/commit/95884e0853648e89e90e3b5decaec31774524845
ML Ethics,neerajadsul/MLCrunch,neerajadsul,"Ethics, Bias, Fairness in ML systems",https://github.com/neerajadsul/MLCrunch/commit/9351b542301c7d52e18400903640a8688f2a6244
ML Ethics,JamesNormington/253_spring_2023,James Normington,change to Ethics in ML,https://github.com/JamesNormington/253_spring_2023/commit/c8bd4d1fbd5b01651191bb26230643fff6326499
Ethical ML,PBarnaghi/ML4NS,PBarnaghi,Ethical considerations and responsible ML,https://github.com/PBarnaghi/ML4NS/commit/8ca29221917575a9e1ceab2606ca55731e1b88d0
Ethical ML,Nachimak28/awesome-list-of-awesomes,Nachiket,"added ethical ml, financial ML. new prod ML link",https://github.com/Nachimak28/awesome-list-of-awesomes/commit/017200f626f64b16a50a4548aca87207cc19d5fb
Ethical ML,alycia-noel/alycia-noel.github.io,Alycia N. Carey,Update 2022-12-03-guide-to-fair-ethical-ml-books.md,https://github.com/alycia-noel/alycia-noel.github.io/commit/7dc1f5e86dd4c63442e96c41c9b97770a30d00ff
Ethical ML,alycia-noel/alycia-noel.github.io,Alycia N. Carey,Update 2022-12-03-guide-to-fair-ethical-ml-books.md,https://github.com/alycia-noel/alycia-noel.github.io/commit/6e53a8fcc04a49a95ca8258d900f776d3d5d0802
Ethical ML,alycia-noel/alycia-noel.github.io,Alycia N. Carey,Update 2022-12-03-guide-to-fair-ethical-ml-books.md,https://github.com/alycia-noel/alycia-noel.github.io/commit/d793db140f82fb8481d0bbc58ca9b3b64d3aebf1
Ethical ML,alycia-noel/alycia-noel.github.io,Alycia N. Carey,Update 2022-12-03-guide-to-fair-ethical-ml-books.md,https://github.com/alycia-noel/alycia-noel.github.io/commit/27dff1f15affb293ede2aea7eb86cf78e090dee8
Ethical ML,alycia-noel/alycia-noel.github.io,Alycia N. Carey,Update 2022-12-03-guide-to-fair-ethical-ml-books.md,https://github.com/alycia-noel/alycia-noel.github.io/commit/3ef5792fad782f866169596e09cc7f51077544ec
Ethical ML,alycia-noel/alycia-noel.github.io,Alycia N. Carey,Update 2022-12-03-guide-to-fair-ethical-ml-books.md,https://github.com/alycia-noel/alycia-noel.github.io/commit/25477339259e1f8edf0793dba885a92264e72460
Ethical ML,alycia-noel/alycia-noel.github.io,Alycia N. Carey,Update 2022-12-03-guide-to-fair-ethical-ml-books.md,https://github.com/alycia-noel/alycia-noel.github.io/commit/47da7ad9c2b1372c0d6e538b50305cac03868740
Ethical ML,alycia-noel/alycia-noel.github.io,Alycia N. Carey,Update 2022-12-03-guide-to-fair-ethical-ml-books.md,https://github.com/alycia-noel/alycia-noel.github.io/commit/0906de807314c7f11e98432d5005a2606d5f55b2
Machine learning bias,BytesOfIntelligences/TensorFlow-Developers-Roadmap,Bytes Of Intelligence: Exploring AI's Secrets in Bangla,Create Chapter 23: Machine Learning Ethics and Bias.md,https://github.com/BytesOfIntelligences/TensorFlow-Developers-Roadmap/commit/94d11aacaa43923c9f9f76c995b4eba73a0fe48d
Machine learning bias,Epirius/Obsidian-Notes,Felix kaasa,"vault backup: 2023-09-01 09:03:05

Affected files:
Machine Learning/Bias-variance tradeoff.md
Machine Learning/Regularization.md",https://github.com/Epirius/Obsidian-Notes/commit/60faebf9e65b9572b1ae7848958d8f01ba8d4a2a
Machine learning bias,chanakyavasantha/LearnMachineLearning,cv7,"Update README.md

Bias and Variance in machine learning",https://github.com/chanakyavasantha/LearnMachineLearning/commit/94a1fb30a22e54bdb4838f68728dd790597b335d
Machine learning bias,DS-AI-GATE/dsai-gate,DS-AI-GATE,"Added /markdown/Machine-Learning/Inductive_Bias.md

Exampler for topic specific guides",https://github.com/DS-AI-GATE/dsai-gate/commit/0d44b30ff6c240a86617e0d60f4efe4c75cd55b2
Machine learning bias,jendoebelin/machine_learning_specialization,ladydubs,adding bias and variance and regularized applyed machine learning,https://github.com/jendoebelin/machine_learning_specialization/commit/87be85ec325d9c8b183970d3b650a3de65ac35f1
Machine learning bias,veeralakrishna/hashnode-articles,Veerala Hari Krishna,"Synced existing file post: Unraveling the Dance of Bias, Variance, Overfitting, and Underfitting in Machine Learning",https://github.com/veeralakrishna/hashnode-articles/commit/fd3c214e7281a22d3442ebe9eafe1e4e11a2a01b
Machine learning bias,adamcorren/fantasy_football_project_report,adamcorren,"Delete Using Machine Learning to Mitigate Human Bias, Fantasy Football.pdf",https://github.com/adamcorren/fantasy_football_project_report/commit/28860bffd80a50e5c85393fd801128aebae66e2d
Machine learning bias,adamcorren/fantasy_football_project_report,adamcorren,"Delete Using Machine Learning to Mitigate Human Bias, Fantasy Football.pdf",https://github.com/adamcorren/fantasy_football_project_report/commit/6fad0b870d02424a82a76f6c6ec7002bfcdcc2ea
Machine learning bias,dan-a-iancu/airm,dan-a-iancu,"Bias_in_Machine_Learning.pdf

PDF printout of the outputs of running the Colab file.",https://github.com/dan-a-iancu/airm/commit/d0480b9036767e71b5c8aae6dd3eff37e23a0845
Machine learning bias,adamcorren/fantasy_football_project_report,adamcorren,"Delete Using Machine Learning to Mitigate Human Bias, Fantasy Football.pdf",https://github.com/adamcorren/fantasy_football_project_report/commit/12dd289b126e95f12db11285273c3fb0a469b9ee
AI bias,abenslimaneakawahid/ML-and-maths-theory,Abdelwahid Benslimane,AI and Biases,https://github.com/abenslimaneakawahid/ML-and-maths-theory/commit/733637bfae71e0a3ac8acf27d53007a230d924d5
AI bias,abenslimaneakawahid/ML-and-maths-theory,Abdelwahid Benslimane,AI and Biases,https://github.com/abenslimaneakawahid/ML-and-maths-theory/commit/09a21dbcb377b2c1916ea8dae68797218159f824
AI bias,rgscherf/csc-412-group5,thildebrand,"Update Bias, decision-making, and AI.md",https://github.com/rgscherf/csc-412-group5/commit/73e76a9d9669fa9a6d54d8cb21d4bcf023a42fa4
AI bias,rgscherf/csc-412-group5,thildebrand,"Update Bias, decision-making, and AI.md",https://github.com/rgscherf/csc-412-group5/commit/48591129ba431a31cd52fc5bd5dca5d9798fc237
AI bias,mgril/Paddle-Square,mgril,Add AI random bias,https://github.com/mgril/Paddle-Square/commit/4e6953c574876cbf856b1ec9ef66c08255e62ce7
AI bias,Udayr777/Machine-Learning,Uday Ramesh,Kaggle Notebook | Exercise: Identifying Bias in AI | Version 1,https://github.com/Udayr777/Machine-Learning/commit/868f81a3e672cd02bcf25b3bb2e0c3f80fec2020
AI bias,LukeSideris/civdata.github.io,Luke Sideris,Civ 5 AI biases chart,https://github.com/LukeSideris/civdata.github.io/commit/837016a2dd3e981e3f8aa8ed3ca80c3e44bf2bb1
AI bias,pablozuta/go-fundamentals,pablozuta,se agrega 'ethical AI bias checker' a Ethics Programs,https://github.com/pablozuta/go-fundamentals/commit/1d2ecdf30a3eaffa4820ae231df6bcafb5811802
AI bias,A-Choudhari/highschool_research,A-Choudhari,Research for AI Biases,https://github.com/A-Choudhari/highschool_research/commit/0d6395e586e21db7754e1733689a15f3d19f4e2d
AI bias,software-students-fall2023/git-workflow-practice-seolinjung,Gabriel,Comments about racial biases in AI,https://github.com/software-students-fall2023/git-workflow-practice-seolinjung/commit/1fe781c17452ae2e94617274a421470c7f58c52b
AI Fairness,Udayr777/Machine-Learning,Uday Ramesh,Kaggle Notebook | Exercise: AI Fairness | Version 1,https://github.com/Udayr777/Machine-Learning/commit/ec9f39c44ad7e90ab6f3eb9d8bb311c05302b3c3
AI Fairness,linhx25/Quant_Marketing_Reading,linhx25,update fairness on responsible AI,https://github.com/linhx25/Quant_Marketing_Reading/commit/7e4969fb943506bf11f454311af775071a6f276e
AI Fairness,skojaku/digitalgarden,SADAMORI KOJAKU,Delete note Research-note/AI fairness/Fairness metrics.md,https://github.com/skojaku/digitalgarden/commit/687b3cbacbcbf17351e9f6da1ad14ab2178b84ed
AI Fairness,ronnigaba/BoyumFoosballStats-2.0,ronnigaba,Fixed issue in the AI fairness calculation,https://github.com/ronnigaba/BoyumFoosballStats-2.0/commit/5e7f2d0274db2eac274fe72ba518894814d82de4
AI Fairness,skojaku/digitalgarden,SADAMORI KOJAKU,Update note L01 - Work/L01 - research note/AI fairness/Example of AI bias.md,https://github.com/skojaku/digitalgarden/commit/5d8120e1b1dbb66d32324ce54621a0f29660bfd7
AI Fairness,skojaku/digitalgarden,SADAMORI KOJAKU,Update note L01 - Work/L01 - research note/AI fairness/Quantifying and debiasing AI bias.md,https://github.com/skojaku/digitalgarden/commit/9b616c8b318fe9e11d73fbc5d67e78af38b29dad
AI Fairness,skojaku/digitalgarden,SADAMORI KOJAKU,Delete note L01 - Work/L01 - Research note/AI fairness/Example of AI bias.md,https://github.com/skojaku/digitalgarden/commit/ad6cbb4b25f6327d1b6fecf84acd3e2d8b6bf392
AI Fairness,skojaku/digitalgarden,SADAMORI KOJAKU,Delete note L01 - Work/L01 - Research note/AI fairness/Quantifying and debiasing AI bias.md,https://github.com/skojaku/digitalgarden/commit/7a20973a4ef915a616d66e2f1f251ca1af681c04
AI Fairness,skojaku/digitalgarden,SADAMORI KOJAKU,Delete note Research-note/AI fairness/Example of AI bias.md,https://github.com/skojaku/digitalgarden/commit/cda301c6c2e0a4fce0fae29296ab606ddfe1fb20
AI Fairness,skojaku/digitalgarden,SADAMORI KOJAKU,Delete note Research-note/AI fairness/Quantifying and debiasing AI bias.md,https://github.com/skojaku/digitalgarden/commit/2f0e46766b6cc0d6aa05c5790982197ac9287af8
fairness metrics,tidymodels/tune,Simon P. Couch,"add support for yardstick fairness metrics (#684)

* add support for yardstick fairness metrics

* add `Remotes` for tests

could also skip tests conditionally on yardstick version

* test with currently suggested package

* add `has_metrics_by()`",https://github.com/tidymodels/tune/commit/fea8b02ba94c33f25fc59257ce17f5240bc7ace9
fairness metrics,JayVeezy1/MA_thesis,Jakob Vanek,added scaling of fairness metrics plot,https://github.com/JayVeezy1/MA_thesis/commit/8fe5388c6819dbec083f4aab149984dbf434a172
fairness metrics,mljar/mljar-supervised,Piotr Plonski,compute fairness metrics (#612),https://github.com/mljar/mljar-supervised/commit/03569b0636b7060752846083a59db45ec8cabbf9
fairness metrics,sony/nnabla-examples,Kenji Suzuki,"Merge pull request #375 from sony/feature/20230315_fairness_metric

[Fairness] Included Disparate Impact Metric in Fairness Metric tutorial notebook",https://github.com/sony/nnabla-examples/commit/52c6a4a2028cd26c40900285da13cbba5abd97ea
fairness metrics,JayVeezy1/MA_thesis,Jakob Vanek,"improved fairness metrics table, also title for DL plot in one line",https://github.com/JayVeezy1/MA_thesis/commit/d9dfb8563bc1e9ef28c345ebeb6c8ebfbd1ea9c2
fairness metrics,IMDA-BTG/aiverify,imda-btg,"Squashed 'aiverify.stock.fairness-metrics-toolbox-for-regression/' content from commit ef09ecd

git-subtree-dir: aiverify.stock.fairness-metrics-toolbox-for-regression
git-subtree-split: ef09ecdc6759de640a9298e34ad2b81e465b5420",https://github.com/IMDA-BTG/aiverify/commit/80c88f25037d7e22847c6641a4de87aeac515b2b
fairness metrics,IMDA-BTG/aiverify,imda-btg,"Squashed 'aiverify.stock.fairness-metrics-toolbox-for-classification/' content from commit ca6de3d

git-subtree-dir: aiverify.stock.fairness-metrics-toolbox-for-classification
git-subtree-split: ca6de3d37589b321dfe30454f1d01a19cecc7f12",https://github.com/IMDA-BTG/aiverify/commit/ea175d0e3934052bc0e1665a6f8960806e195ffc
fairness metrics,JohnSnowLabs/langtest,Arshaan,update fairness and util_metrics,https://github.com/JohnSnowLabs/langtest/commit/7dc382cd231db91125bf1a1d09b4fd1140104762
fairness metrics,JayVeezy1/MA_thesis,Jakob V,preperation fairness metrics,https://github.com/JayVeezy1/MA_thesis/commit/2e1867102d8860aec82c4161fcc0166eedb10530
fairness metrics,mljar/mljar-supervised,Piotr,remove fairness threshold from selection rate plots for metrics different than demographic parity ratio (#612),https://github.com/mljar/mljar-supervised/commit/270676764c82bd14d19b1417a5159460597a4214
bias mitigation,Trusted-AI/AIX360,Rahul Nair,Working bias mitigation example,https://github.com/Trusted-AI/AIX360/commit/464f4cf42aef2450c8f3b90642a22410ce292809
bias mitigation,mljar/mljar-supervised,Piotr Plonski,mutli class bias mitigation (#612),https://github.com/mljar/mljar-supervised/commit/9caa00ab449d186578230de0eeaf6ca23f5b8687
bias mitigation,holistic-ai/holisticai,Kleyton da Costa,"doc: add bias mitigation clustering tutorials (#28)

* doc: add bias mitigation clustering tutorials

 add bias mitigation clustering tutorials to preprocessing, inprocessing, and postprocessing

* doc: add bias mitigation clustering tutorials

* add clustering tutorials
Fixes #27

---------

Co-authored-by: cristian.munoz <cristian.munoz@holisticai.com>",https://github.com/holistic-ai/holisticai/commit/5a5dbb19eaccd8d4fb223d958330422005b40585
bias mitigation,Orizian-Labs/ArtiFact-Tag-Schema,Delta,"Add Bias Mitigation

Added Bias Mitigation to the Machine-Assisted Classification (.json, md, Github page)

Corrected mistake in the .json file (AI-Assisted instead of Machine-Assisted)

Other minor fixes to document format",https://github.com/Orizian-Labs/ArtiFact-Tag-Schema/commit/8d005f5b721c502f87928afbc7d01202e0f787ae
bias mitigation,loremarchi/discrimination_free_pricing_presentation,Lorenzo Marchi,Delete bias_mitigation.png,https://github.com/loremarchi/discrimination_free_pricing_presentation/commit/fcfcef9ef8ac832b03bc46dfd732875d8e927d5b
bias mitigation,mljar/mljar-supervised,Piotr,working on weights optimization for multi class bias mitigation (#612),https://github.com/mljar/mljar-supervised/commit/fd2925b4dbd4d0eb106d24c138637ae8dc75ba1e
bias mitigation,Trusted-AI/AIX360,Rahul Nair,Initial commit of the bias mitigation example (incomplete),https://github.com/Trusted-AI/AIX360/commit/c3c7db633dc8c123d9c96b2eddbca6531b4bed97
bias mitigation,IBM/lale,Martin Hirzel,More bias mitigation hyperparameters. (#1306),https://github.com/IBM/lale/commit/67a7ca711999581f964a3d2209ab41e77f4ea7a3
bias mitigation,OffcierCia/non-typical-OSINT-guide,Officer | officercia,"Update README.md

Added: Cognitive Bias Mitigation & Decision-Making resources",https://github.com/OffcierCia/non-typical-OSINT-guide/commit/8713567a29fadbd9b321ae93c005d3f73121fe93
bias mitigation,holistic-ai/holisticai,cristian.munoz,"Crismunoz/Speedup Bias Mitigation tests (#18)

* fix: grid search raise exception with small data

* chore: organize files and create small dataset for clustering, regression, and multiclass.

* chore: replace small dataset in classification mitigtion tests

* chore: repalce small dataset for regression bias mitigatgors

* chore: add small datase for multiclass bias mitigators

* chore: add small dataset for clustering bias mitigators

* chore: add small dataset for recommedner system bias mitigator",https://github.com/holistic-ai/holisticai/commit/e009c9a8c9bf16684068f5e82954341693351f33
model fairness,s-schrauth/discrimination-in-AI,s-schrauth,Counter-Fairness: Renewed model calculations & approx fairness function & ROC-post-processing,https://github.com/s-schrauth/discrimination-in-AI/commit/6b331eff4c244fb7ba4b8a1f9b677ea12dc52c8e
model fairness,mljar/mljar-supervised,Piotr,select best model based on fairness (#612),https://github.com/mljar/mljar-supervised/commit/5648e4207ce9e73513e525e0b52a885e2d0e9698
model fairness,mljar/mljar-supervised,Piotr,select best model based on fairness (#612),https://github.com/mljar/mljar-supervised/commit/cb4637039574bb831e8565615154d47ca8e7f8de
model fairness,mljar/mljar-supervised,Piotr,select best model based on fairness (#612),https://github.com/mljar/mljar-supervised/commit/26bb2569763c348e1b4bca2712f512d9f67fa701
model fairness,mljar/mljar-supervised,Piotr,select best model based on fairness (#612),https://github.com/mljar/mljar-supervised/commit/a7c60de4d6cb93a3ba5190668c43a74eb55254ce
model fairness,s-schrauth/discrimination-in-AI,s-schrauth,Individual Fairness & new counterfactual model (sex swap),https://github.com/s-schrauth/discrimination-in-AI/commit/0d8c2487346bdcbf1ef6d4ca7b0f34a881d09e09
model fairness,aws/amazon-sagemaker-examples,atqy,remediate ageMaker-Model-Monitor-Fairness-and-Explainability.ipynb to py38 (#4125),https://github.com/aws/amazon-sagemaker-examples/commit/8879b55f6f83d560daf06ecbe830799b25bd4c75
model fairness,FAIR-Protocol/decentralised-inference,MarcioGuia,"Merge pull request #170 from FAIR-Protocol/feat#161-add-audio-model

MusicGen audio model",https://github.com/FAIR-Protocol/decentralised-inference/commit/1dfb59430a88cdccfa4ed48522f935df0d220ab3
model fairness,JayVeezy1/MA_thesis,Jakob,finished output for fairness metrics and models overview,https://github.com/JayVeezy1/MA_thesis/commit/c36f924d5994733f8d2700dfa98ded8cc84f78cc
model fairness,theATM/Draszcze,theATM,Change fair model a bit,https://github.com/theATM/Draszcze/commit/862b5f99c8160382401240d46e140167af04a95c
model bias,3it-inpaqt/line-classification-slope,William GENETELLI,"Changed main run file to plot some lines with angles and predicted ones. Added extra file to define model separately to later load the file.

Error: Missing key(s) in state_dict: ""model.0.weight"", ""model.0.bias"", ""model.2.weight"", ""model.2.bias"", ""model.4.weight"", ""model.4.bias"", ""model.6.weight"", ""model.6.bias"".
	Unexpected key(s) in state_dict: ""0.weight"", ""0.bias"", ""2.weight"", ""2.bias"", ""4.weight"", ""4.bias"", ""6.weight"", ""6.bias"".",https://github.com/3it-inpaqt/line-classification-slope/commit/4d6757ce15663618ce1fe69c150035a54b2c9387
model bias,k2-fsa/sherpa-onnx,Wei Kang,"Support contextual-biasing for streaming model (#184)

* Support contextual-biasing for streaming model

* The whole pipeline runs normally

* Fix comments",https://github.com/k2-fsa/sherpa-onnx/commit/513dfaa5528d9272979d6309cd8032b9e1d543a5
model bias,Giskard-AI/giskard,Matteo Dora,Rename model bias to performance bias,https://github.com/Giskard-AI/giskard/commit/d431f6d2d238889a9231da4995414b0f2eb9eff6
model bias,kubeflow/pipelines,Googler,"feat(components): Define Model Bias component for detecting model bias metrics

PiperOrigin-RevId: 534591195",https://github.com/kubeflow/pipelines/commit/70220078b1e66a322d48a3adfbb14988a35b6a79
model bias,MitchellJC/game-rec,MitchellJC,adding biases into model,https://github.com/MitchellJC/game-rec/commit/6bffbc14d3d2503825dea62284a9b9c118c1cf3e
model bias,protocol/mechafil-jax,Kiran Karra,ts model for estimating locking bias,https://github.com/protocol/mechafil-jax/commit/62f4beb25c7df9f7db218bdfb79738a2b2eaad8d
model bias,RajGothi/NLP-and-Speech-Hugging-Face,Raj Gothi,Bias and Limitation of model: Hugging Face pre-train model,https://github.com/RajGothi/NLP-and-Speech-Hugging-Face/commit/02de72ae95555e12ac7ec1c5c2063f501a6fadfd
model bias,rbcooper/regex_transformer,tkwa,Log model training in weights and biases,https://github.com/rbcooper/regex_transformer/commit/0af8dec034e7d33e303d18eae28a848f3b018cf5
model bias,RaphaelPB/CRVA_tool,CDross0507,"Presenting difference between observed and modeled data in Bias correction, starting pointwise bias correction

Creation of Functions_figures",https://github.com/RaphaelPB/CRVA_tool/commit/aa8659dcfbe6fedb8283bd350fcaba9f0e895d51
model bias,Giskard-AI/giskard,Matteo Dora,Fix model bias detector warning,https://github.com/Giskard-AI/giskard/commit/70e035fc3bc295414b7777f9a28913e103a67b61
fairness evaluation,zju-vipa/DeepModel-Evaluation-CV,Hertz-J07,first commit of Fairness Evaluation,https://github.com/zju-vipa/DeepModel-Evaluation-CV/commit/ba69c3ac3d1879e6ba9fb4583677b76b7515bb90
fairness evaluation,zju-vipa/DeepModel-Evaluation-CV,Hertz-J07,first commit of fairness evaluation,https://github.com/zju-vipa/DeepModel-Evaluation-CV/commit/be4bebe07844b6e80e1c2f796f79d6029d556f00
fairness evaluation,alku7660/counterfactual-fairness,alku7660,"Modified constructor for cf, evaluator, fairness",https://github.com/alku7660/counterfactual-fairness/commit/d5968ec0053ad5608466e207166bc3d2c2ba22c6
fairness evaluation,alku7660/counterfactual-fairness,alku7660,"Updated fairness, evaluator and fijuice",https://github.com/alku7660/counterfactual-fairness/commit/4ed277f83bfa811457ab02f957eea18261774799
fairness evaluation,alku7660/counterfactual-fairness,alku7660,Evaluator and Fairness tester modified,https://github.com/alku7660/counterfactual-fairness/commit/eee9cdf5fe34e9f1ac1eacf1b81bc0d513d0e62c
fairness evaluation,VectorInstitute/cyclops,Mahshid Alinoori,"Add MIMIC Tutorial (#437)

* Add tutorial for mortality prediction

* Add fairness evaluation

* Add plotly and kaggle to docs deps, fix to notebook

* Add use case tutorial RST file

---------

Co-authored-by: Amrit K <amritk@vectorinstitute.ai>",https://github.com/VectorInstitute/cyclops/commit/102ec23e368f061e36257490274500860ba260a8
fairness evaluation,VectorInstitute/cyclops,Franklin,"Fix Fairness Evaluator Bug (#438)

* fix single-example metric computation bug

* update hf nb

* clear nb output

* update nb kernel

* revert poetry.lock file to main version",https://github.com/VectorInstitute/cyclops/commit/882b00a2dc40996812815c49c07721ea6a26c364
fairness evaluation,pangaea-data-publisher/fuji,huberrob,"Rewrote community_metadata evaluator to mmake it configurable, new test methods now configured by yaml file, moved some code from fair_check.py to the evaluator code. #333",https://github.com/pangaea-data-publisher/fuji/commit/30e51a298f32e3ac1c7fa6aeb55b446bb37e45d7
